embeddings	type	entity	entity_normalized	entity_normalized_clean	wikidata_qid
39684	PER	Carmela	Carmela Eulate	Carmela Eulate Sanjurjo	Q50672228
39760,39761,39762,39763	ORG	HERALDO DE LA MUJER	Heraldo de la Mujer	Heraldo de la Mujer	
39772,39773	ORG	Liga Antituberculosa	Liga Antituberculosa	Liga Antituberculosa	
39776,39777,39778	ORG	Dirección de Sanidad	Dirección de Sanidad	Dirección de Sanidad	
39814	ORG	Los	Los	Los	
39881	ORG	Azucareras	Azucareras	Azucareras	
39904	ORG	Cardes	Cardes	Cardes	
39917	ORG	Liga	Liga	Liga	
39937,39938	ORG	Gobierno Civil	Gobierno Civil	Gobierno Civil	
39950	ORG	Liga	Liga	Liga	
39958	MISC	Campamente	Campamente	Campamente	
39981,39982,39983	PER	Amparo Fernandez Náter	Amparo Fernandez Náter	Amparo Fernandez Náter	
39987	MISC	AURORAS	Aurora	Aurora	
40057,40058,40059,40060,40061	ORG	La Voz de la Mujer	La Voz de la Mujer	La Voz de la Mujer	
40063	LOC	Madrid	Madrid	Madrid	
40094	LOC	Inglaterra	Inglaterra	Inglaterra	
40100	ORG	Estados	Estados Unidos	Estados Unidos	
40101	LOC	Unidos	Estados Unidos	Estados Unidos	
40106,40107	LOC	Puerto Rico	Puerto Rico	Puerto Rico	
40197,40198,40199	MISC	La Mujer Moderna	La Mujer Moderna	La Mujer Moderna	
40202	LOC	Méjico	Méjico	Méjico	
40205,40206,40207	ORG	Ayuntamiento de Madrid	Ayuntamiento de Madrid	Ayuntamiento de Madrid	
40209,40210,40211,40212	MISC	HERALDO DE LA MUJER	Heraldo de la Mujer	Heraldo de la Mujer	
40214	MISC	rramarica	rramarica	rramarica	
40230,40231	PER	relipe laner	relipe laner	Felipe Janer	
40282	ORG	Universidad	Universidad	Universidad	
40629	PER	laner	laner	Felipe Janer	
40688,40689	LOC	Puerto Rico	Puerto Rico	Puerto Rico	
40697	PER	laner	laner	Felipe Janer	
40737	ORG	Corporación	Corporación	Corporación	
40935	MISC	Gramática	Gramática	Gramática	
40939,40940,40941	ORG	Ayuntamiento de Madrid	Ayuntamiento de Madrid	Ayuntamiento de Madrid	
40943,40944,40945,40946	ORG	HERALDO DE LA MUJER	Heraldo de la Mujer	Heraldo de la Mujer	
40953	MISC	Biblia	Biblia	Biblia	
41209	LOC	Manila	Manila	Manila	
41254	LOC	María	María	María	
41259,41260	LOC	Puerto Rico	Puerto Rico	Puerto Rico	
41477,41478,41479,41480	PER	Ana Requé de Duprey	Ana Roqué de Duprey	Ana Roque de Duprey	Q4750492
41485,41486,41487,41488	ORG	HERALDO DE LA MUJER	Heraldo de la Mujer	Heraldo de la Mujer	
41499,41500,41501,41502	ORG	HERALDO DE LA MUJER.	Heraldo de la Mujer	Heraldo de la Mujer	
41533,41534,41535,41536	MISC	HERALDO DE LA MUJER	Heraldo de la Mujer	Heraldo de la Mujer	
41538	MISC	MUNDAL	MUNDAL	Mundal	
41546	MISC	SUENO	SUENO	Sueno	
41548,41549	PER	CECIL RHODES	CECIL RHODES	Cecil Rhodes	Q19825
41555	PER	Rhodes	Rhodes	Cecil Rhodes	Q19825
