embeddings	type	entity	entity_normalized	entity_normalized_clean	wikidata_qid
106782	PER	Niklos	Niklos	Niklos	
106824	PER	Paula	Paula	Paula	
106868	PER	Paula	Paula	Paula	
106882	PER	Niklos	Niklos	Niklos	
106890	PER	Paula	Paula	Paula	
106934	PER	Paula	Paula	Paula	
106949	MISC	Fémina	Fémina	Fémina	
106966	PER	Paula	Paula	Paula	
106998	PER	Niktos	Niklos	Niklos	
107034	PER	Pauta	Pauta	Pauta Saila	Q7155491
107046	PER	Niktos	Niklos	Niklos	
107088	PER	Paula	Paula	Paula	
107095	PER	Nillos	Niklos	Niklos	
107104	PER	Paula	Paula	Paula	
107139	PER	Niklos	Niklos	Niklos	
107240	PER	Paula	Paula	Paula	
107257	PER	Niklos	Niklos	Niklos	
107260	PER	Villos	Villos	Villos	
107282	PER	Pauta	Pauta	Pauta Saila	Q7155491
107290	PER	Niktos	Niklos	Niklos	
107298	PER	Pauta	Pauta	Pauta Saila	Q7155491
107319,1073	LOC	calle Ferenz	Calle Ferenz	Calle Ferenz	
107323	PER	Nillos	Niklos	Niklos	
107334	PER	Paía	Paía	Paía	
107348	PER	Paula	Paula	Paula	
107358	PER	Niklos	Niklos	Niklos	
107393	PER	Paula	Paula	Paula	
107474	PER	Paula	Paula	Paula	
107519	PER	Paula	Paula	Paula	
107559	PER	Niklos	Niklos	Niklos	
107574	PER	Nillos	Niklos	Niklos	
107595	PER	Pauta	Pauta	Pauta Saila	Q7155491
107621	PER	Niklos	Niklos	Niklos	
107651	PER	Niklos	Niklos	Niklos	
