embedding	type	entity	entity_normalized	entity_normalized_clean	wikidata_qid
3257	LOC	Tavabas	Tayabas	Tayabas	
3398	LOC	FILIPINAS	Filipinas	Filipinas	
3486,3487	PER	CONSTANCIA POBLETE	Constancia Poblete	Constancia Poblete	
3497	LOC	FILIPINAS	Filipinas	Filipinas	
3502,3503	PER	FRANCISCA GESMUNDO	Francisca Gesmundo	Francisca Gesmundo	
3513	LOC	Manila	Manila	Manila	
3540	LOC	Manila	Manila	Manila	
3796	LOC	Europa	Europa	Europa	
3808	PER	Rotschild	Rotschild	E. Rotschild	Q33691387
3933	PER	Dios	Dios	Dios	Q190
4265,4266,4267,4268	MISC	LA PUERTA DEL SOL	Puerta del Sol	Puerta del Sol	
4303	PER	Rotschild	Rotschild	E. Rotschild	Q33691387
4858	PER	Dios	Dios	Dios	Q190
4987	PER	Dios	Dios	Dios	Q190
5153	LOC	TANSIANG	Tansiang	Tansiang	
5156	LOC	FILIPINAS	Filipinas	Filipinas	
5715,5716	PER	Charles Gilman	Charles Gilman	Charles J. Gilman	Q1064991
5885,5886	PER	Charles Gilman	Charles Gilman	Charles J. Gilman	Q1064991
5955	PER	Witmer	Witmer	Lightner Witmer	Q1399152
5994	PER	Cronin	Cronin	Cronin	
5997,5998	LOC	Nueva York	Nueva York	Nueva York	
6026	LOC	Chiengo	Chiengo	Chiengo	
6039	MISC	Estados	Estados Unidos	Estados Unidos	
6093	PER	ELENA	ELENA	Elena	
6099	MISC	FILIPINAS	Filipinas	Filipinas	
6286,6287	PER	Francisca Gesmundo	Francisca Gesmundo	Francisca Gesmundo	
6304,6305,6306,6307	PER	Rosario Lam de Escobar	Rosario Lam de Escobar	Rosario Lam	
6385,6386,6387,6388	LOC	calle de la Escolta	calle de la Escolta	calle de la Escolta	
6395	LOC	Manila	Manila	Manila	
6437,6438,6439	MISC	Pascuas de Navidad	Pascuas de Navidad	Pascuas de Navidad	
6482	PER	Gilman	Gilman	Charlotte Perkins Gilman	Q287752
6519	LOC	Filadelfia	Filadelfia	Filadelfia	
6548,6549,6550	ORG	Junta de Sanidad	Junta de Sanidad	Junta de Sanidad	
6793,6794,6795	PER	J. Lewis Crozer	J. Lewis Crozer	J. Lewis Crozer	
6807	PER	Maguire	Maguire	Maguire	
6815	PER	Witmer	Witmer	Lightner Witmer	Q1399152
6912	ORG	Pátria	Patria	Patria	
6972	LOC	FILIPINAS	Filipinas	Filipinas	
7060,7061	PER	CONSTANCIA POBLETE	Constancia Poblete	Constancia Poblete	
7072	MISC	FILIPINAS	Filipinas	Filipinas	
7077,7078	PER	ROSARIO LAM	ROSARIO LAM	Rosario Lam	
7087	LOC	Manila	Manila	Manila	
7123	LOC	Manila	Manila	Manila	
7153	MISC	Biblia	Biblia	Biblia	
7167	PER	Dios	Dios	Dios	Q190
7206	PER	Dios	Dios	Dios	Q190
7237	PER	Dios	Dios	Dios	Q190
7295	MISC	Creador	Creador	Creador	
7304	PER	Adan	Adan	Adán	Q70899
7524,7525	PER	Daniel Lesneur	Daniel Lesneur	Daniel Lesneur	
7559,7560	LOC	Extremo Oriente	Oriente	Oriente	
7627	LOC	India	India	India	
7717	LOC	Turquía	Turquía	Turquía	
7720	LOC	Asia	Asia	Asia	
7724	LOC	Egipto	Egipto	Egipto	
7734	LOC	Jordan	Jordan	Jordan	
7737	LOC	Nilo	Nilo	Nilo	
7760	PER	Faraón	Faraón	Faraón	
7765	LOC	Europa	Europa	Europa	
7859	MISC	FILIPINAS	Filipinas	Filipinas	
7877,7878,7879,7880	MISC	LA PUERIA DEL SOL	Puerta del Sol	Puerta del Sol	
7918	MISC	Criador	Criador	Criador	
8107	MISC	Hacedor	Hacedor	Hacedor	
8188	PER	Eva	Eva	Eva	Q830183
8192	PER	Adan	Adan	Adán	Q70899
8263,8264,8265,8266	LOC	Plaza de Santa Cruz	Plaza de Santa Cruz	Plaza de Santa Cruz	
8297	ORG	Pátria	Patria	Patria	
8375	LOC	Berna	Berna	Berna	
8382	LOC	Bretaña	Bretaña	Bretaña	
8385	LOC	Calabria	Calabria	Calabria	
8388	LOC	Andalucía	Andalucía	Andalucía	
8391	LOC	Corfú	Corfú	Corfú	
8459	LOC	Europa	Europa	Europa	
8641	ORG	Duramelegare	Duramelegare	Duramelegare	
8808	LOC	Buera	Buera	Buera	
8823	PER	Alodia	Alodia	Alodia	Q14056266
8831	LOC	Pabla-Torre	Pabla-Torre	Pabla-Torre	
8876	PER	Judith	Judith	Judit	Q26454627
8879	PER	Holofernes	Holofernes	Holofernes	Q55059823
8903	PER	Alodia	Alodia	Alodia	Q14056266
9205	LOC	Buera	Buera	Buera	
9260	MISC	Hada	Hada	Hada	
9437	MISC	Hada	Hada	Hada	
9511	MISC	FILIPINAS	Filipinas	Filipinas	
9755	PER	POMPOSA	POMPOSA	Pomposa	
9759	MISC	heroina	heroina	heroina	
9761	MISC	Alquezar	Alquézar	Alquézar	
9845	PER	Alodia	Alodia	Alodia	Q14056266
10269	MISC	Hada	Hada	Hada	
10284	PER	Hada	Hada	Hada	
10337	PER	Hada	Hada	Hada	
10359,10360,10361	PER	L . BILLAN	L . BILLAN	L. Billan	
10364	LOC	Rosario	Rosario	Rosario	
10366	LOC	Binondo	Binondo	Binondo	
10392,10393	PER	LA ESPERANZA	La Esperanza	La Esperanza	
10396	LOC	FILIPINAS	Filipinas	Filipinas	
10482,10483	PER	CONSTANCIA POBLETE	Constancia Poblete	Constancia Poblete	
10494	MISC	FILIPINAS	Filipinas	Filipinas	
10500,10501	PER	FRANCISCA GESMUNDO	Francisca Gesmundo	Francisca Gesmundo	
