sentence_id,documento,orden_frase,tema,keyword_detectada,frase_original,frase_normalizada,n_palabras
femina_000363,femina,363,patria,patria,"La República, después de una larga noche de dura y bochornosa servidumbre surgirá libre y soberana? El sol de la libertad estará a punto de levantarse y deshacer las espesas tinieblas de nuestra noche pavorosa? Será verdad? Habrá triunfado el derecho? Amanecerá la justicia? Esperemos puesta la confianza en Dios y llenos de la Patria nuestros corazones Fémina Página 2 LA VIDA.",la republica despues de una larga noche de dura y bochornosa servidumbre surgira libre y soberana el sol de la libertad estara a punto de levantarse y deshacer las espesas tinieblas de nuestra noche pavorosa sera verdad habra triunfado el derecho amanecera la justicia esperemos puesta la confianza en dios y llenos de la patria nuestros corazones femina pagina 2 la vida,62
femina_000363,femina,363,religion,dios,"La República, después de una larga noche de dura y bochornosa servidumbre surgirá libre y soberana? El sol de la libertad estará a punto de levantarse y deshacer las espesas tinieblas de nuestra noche pavorosa? Será verdad? Habrá triunfado el derecho? Amanecerá la justicia? Esperemos puesta la confianza en Dios y llenos de la Patria nuestros corazones Fémina Página 2 LA VIDA.",la republica despues de una larga noche de dura y bochornosa servidumbre surgira libre y soberana el sol de la libertad estara a punto de levantarse y deshacer las espesas tinieblas de nuestra noche pavorosa sera verdad habra triunfado el derecho amanecera la justicia esperemos puesta la confianza en dios y llenos de la patria nuestros corazones femina pagina 2 la vida,62
femina_000366,femina,366,raza,negro,Creer hallar la verdad donde subsiste el negro engaño y la cruel falsía; buscar la razón donde no existeconfundir las tinieblas con el día.,creer hallar la verdad donde subsiste el negro engano y la cruel falsia buscar la razon donde no existeconfundir las tinieblas con el dia,24
femina_000370,femina,370,mujer,femenina,"Página 3 Fémina SE asistido últimamente á una interesante discusión sobre la cuestión social femenina, porque hay una cuestión social universal.",pagina 3 femina se asistido ultimamente a una interesante discusion sobre la cuestion social femenina porque hay una cuestion social universal,21
femina_000371,femina,371,mujer,femenina,"Muchos de los que tomaron parte en la discusión preconizaron la necesidad de adoptar el punto de vista que, a grandes líneas trazó nada menos que Salomón lo que prueba que la cuestión femenina no data de ayer.",muchos de los que tomaron parte en la discusion preconizaron la necesidad de adoptar el punto de vista que a grandes lineas trazo nada menos que salomon lo que prueba que la cuestion femenina no data de ayer,38
femina_000373,femina,373,mujer,mujer,"¡Cómo quería Salomón que fuese la mujer Pues como se habla de ella en las Santas Escrituras: fuerte, estable en sus voluntades, perseverante en sus designios.",como queria salomon que fuese la mujer pues como se habla de ella en las santas escrituras fuerte estable en sus voluntades perseverante en sus designios,26
femina_000374,femina,374,mujer,mujer,"En nuestros lías, esta mujer tipo de la educación familiar es rarísima.",en nuestros lias esta mujer tipo de la educacion familiar es rarisima,12
femina_000374,femina,374,educacion,educación,"En nuestros lías, esta mujer tipo de la educación familiar es rarísima.",en nuestros lias esta mujer tipo de la educacion familiar es rarisima,12
femina_000375,femina,375,mujer,mujer,"¡Donde encontrar esa mujer ideal, perla sin precio, tesoro inestimable.",donde encontrar esa mujer ideal perla sin precio tesoro inestimable,10
femina_000376,femina,376,mujer,mujer,Muchas mujeres de hoy quieren merecer el título de mujer fuerte pero á muy pocas puede adiudicarsele.,muchas mujeres de hoy quieren merecer el titulo de mujer fuerte pero a muy pocas puede adiudicarsele,17
femina_000376,femina,376,mujer,mujeres,Muchas mujeres de hoy quieren merecer el título de mujer fuerte pero á muy pocas puede adiudicarsele.,muchas mujeres de hoy quieren merecer el titulo de mujer fuerte pero a muy pocas puede adiudicarsele,17
femina_000377,femina,377,mujer,mujer,Esta mujer patriarcal no puede surgir en nuestro medio.,esta mujer patriarcal no puede surgir en nuestro medio,9
femina_000379,femina,379,mujer,mujeres,Hay algunas mujeres que dan la sensación de la fortaleza moral; pero en la mavor parte de los casos conviene desconfiar.,hay algunas mujeres que dan la sensacion de la fortaleza moral pero en la mavor parte de los casos conviene desconfiar,21
